"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2024","30,674.301","30,674.301","30,674.301","30,674.301","","0.00%"
"04/09/2024","30,674.301","30,674.301","30,674.301","30,674.301","","0.01%"
"04/08/2024","30,670.000","13.731","30,670.000","13.560","","0.00%"
"04/05/2024","30,670.000","31,824.650","32,208.051","27,487.449","","16.12%"
"04/04/2024","26,412.750","22,910.000","27,573.850","22,910.000","","15.27%"
"04/03/2024","22,913.439","21,735.650","23,944.551","21,735.650","","-0.41%"
"04/02/2024","23,008.719","22,882.551","23,569.916","21,735.650","","4.32%"
"03/29/2024","22,055.500","22,081.699","22,146.100","21,991.100","","-0.12%"
"03/28/2024","22,081.699","22,081.699","22,108.000","21,707.500","","1.72%"
"03/27/2024","21,707.500","22,001.051","22,523.949","21,550.000","","-2.47%"
"03/26/2024","22,257.350","20,945.000","22,294.949","20,945.000","","10.64%"
"03/25/2024","20,117.500","20,117.500","20,117.500","20,117.500","","1.59%"
"03/22/2024","19,803.500","20,844.150","20,844.150","19,803.500","","-1.40%"
"03/21/2024","20,084.600","19,332.398","20,084.600","19,332.398","","6.07%"
"03/20/2024","18,935.000","19,332.398","20,299.000","18,630.000","","1.64%"
"03/19/2024","18,630.000","18,630.000","19,891.650","18,630.000","","-0.07%"
"03/18/2024","18,643.199","18,621.061","19,552.150","18,223.600","","2.41%"
"03/15/2024","18,205.000","17,852.051","19,112.000","16,590.900","","1.98%"
"03/14/2024","17,852.051","17,852.051","17,852.051","17,190.699","","-1.25%"
"03/13/2024","18,077.199","18,077.199","18,077.199","18,077.199","","4.96%"
"03/12/2024","17,223.551","16,898.449","17,223.551","16,898.449","","4.01%"
"03/11/2024","16,559.189","16,559.189","16,559.189","16,559.189","","1.53%"
"03/08/2024","16,309.100","16,289.750","16,309.100","16,289.750","","0.12%"
"03/07/2024","16,289.750","16,012.850","16,799.199","15,993.778","","1.85%"
"03/06/2024","15,993.778","15,691.350","16,793.500","15,672.687","","1.93%"
"03/05/2024","15,691.350","15,412.250","16,456.350","15,393.905","","1.81%"
"03/04/2024","15,412.250","15,116.000","16,239.450","15,098.018","","-0.41%"
"03/01/2024","15,475.500","14,930.600","15,852.900","14,912.829","","-1.17%"
"02/29/2024","15,658.450","14,641.700","15,754.700","14,624.309","","9.35%"
"02/28/2024","14,320.000","15,005.600","15,481.550","13,482.450","","0.00%"
"02/27/2024","14,320.000","14,027.350","15,241.800","13,968.100","","2.19%"
"02/26/2024","14,012.500","13,752.700","14,711.250","13,482.450","","4.05%"
"02/23/2024","13,467.500","13,991.550","14,569.100","13,164.025","","0.00%"
"02/22/2024","13,467.500","13,164.026","14,139.750","12,970.550","","2.30%"
"02/21/2024","13,165.000","13,165.000","13,165.000","13,165.000","","0.01%"
"02/20/2024","13,164.026","12,970.550","13,822.200","12,597.580","","0.24%"
"02/19/2024","13,132.500","12,612.600","13,279.050","12,612.600","","4.25%"
"02/16/2024","12,597.500","12,327.700","13,069.950","11,464.300","","2.56%"
"02/15/2024","12,283.000","12,108.050","12,928.650","12,108.050","","1.55%"
"02/14/2024","12,095.000","11,464.300","12,698.350","11,464.300","","1.57%"
"02/13/2024","11,907.500","11,684.950","12,353.400","11,671.028","","2.04%"
"02/12/2024","11,670.000","11,464.300","12,254.550","11,386.450","","1.92%"
"02/09/2024","11,450.000","11,305.150","12,023.200","10,706.875","","1.39%"
"02/08/2024","11,292.500","11,122.000","11,856.300","11,122.000","","1.64%"
"02/07/2024","11,110.000","10,732.350","11,664.150","10,676.250","","1.67%"
"02/06/2024","10,927.500","10,707.500","11,419.300","10,315.094","","-1.63%"
"02/05/2024","11,108.400","10,513.950","11,108.400","10,327.350","","5.65%"
"02/02/2024","10,513.950","10,327.350","10,895.250","9,973.276","","1.93%"
"02/01/2024","10,315.000","9,985.130","10,779.250","9,985.130","","1.60%"
"01/31/2024","10,152.500","9,985.130","10,533.090","9,651.599","","1.75%"
"01/30/2024","9,977.500","10,139.815","10,347.270","9,366.690","","1.66%"
"01/29/2024","9,815.000","9,720.395","10,252.680","8,240.268","","1.60%"
"01/26/2024","9,660.000","9,510.785","10,021.590","9,287.680","","1.71%"
"01/25/2024","9,497.500","9,729.800","9,974.435","8,999.930","","0.88%"
"01/24/2024","9,415.000","9,262.070","9,838.095","9,097.605","","13.03%"
"01/23/2024","8,330.000","9,113.475","9,597.990","8,330.000","","-8.51%"
"01/22/2024","9,105.000","9,010.645","9,557.770","8,817.405","","-1.30%"
"01/19/2024","9,224.925","8,890.000","9,337.425","8,664.410","","2.43%"
"01/18/2024","9,006.185","8,571.130","9,270.620","8,834.690","","0.49%"
"01/17/2024","8,961.890","8,966.790","9,074.865","8,742.460","","3.84%"
"01/16/2024","8,630.210","8,832.825","9,011.000","8,630.210","","-0.65%"
"01/15/2024","8,686.380","8,686.380","8,686.380","8,686.380","","4.26%"
"01/12/2024","8,331.620","8,331.620","8,331.620","8,331.620","","4.80%"
"01/11/2024","7,950.005","7,950.006","7,950.006","7,950.005","","13.95%"
"01/10/2024","6,976.810","6,976.810","6,976.810","6,976.810","","0.98%"
"01/09/2024","6,908.985","6,908.985","6,924.990","6,664.412","","6.83%"
"01/08/2024","6,467.015","6,467.015","6,467.015","6,467.015","","1.07%"
"01/05/2024","6,398.777","6,398.777","6,398.778","6,398.777","","2.03%"
"01/04/2024","6,271.369","6,565.305","6,565.305","6,271.369","","-1.14%"
"01/03/2024","6,343.665","6,085.000","6,343.665","6,006.260","","4.74%"
"01/02/2024","6,056.310","5,934.695","6,393.655","5,934.695","","-0.92%"
"12/29/2023","6,112.780","5,985.827","6,166.855","5,979.998","","2.12%"
"12/28/2023","5,985.827","5,946.437","5,985.828","5,946.437","","0.66%"
"12/27/2023","5,946.437","5,934.695","5,946.437","5,787.071","","2.75%"
"12/21/2023","5,787.070","5,927.639","5,942.525","5,783.357","","-2.49%"
"12/20/2023","5,934.695","5,926.600","6,198.550","5,847.928","","0.14%"
"12/19/2023","5,926.600","5,956.500","5,956.500","5,917.173","","0.04%"
"12/18/2023","5,924.215","5,909.267","6,195.305","5,906.182","","0.08%"
"12/15/2023","5,919.285","5,916.300","5,919.285","5,916.300","","0.05%"
"12/14/2023","5,916.300","5,903.390","5,916.300","5,689.860","","0.58%"
"12/13/2023","5,882.000","5,848.345","5,910.420","5,841.391","","-1.43%"
"12/12/2023","5,967.620","5,839.243","6,118.860","5,839.242","","2.08%"
"12/11/2023","5,846.190","5,842.720","6,029.020","5,835.773","","-2.26%"
"12/08/2023","5,981.670","5,837.755","6,111.170","5,830.812","","2.47%"
"12/07/2023","5,837.755","5,827.797","5,837.757","5,827.797","","0.05%"
"12/06/2023","5,834.735","5,808.375","5,834.735","5,801.466","","0.45%"
"12/05/2023","5,808.375","5,797.016","6,079.235","5,797.016","","0.08%"
"12/04/2023","5,803.920","5,797.980","6,080.415","5,791.082","","0.10%"
"12/01/2023","5,797.980","5,797.980","6,068.405","5,775.989","","0.00%"
"11/30/2023","5,797.980","5,796.950","5,797.980","5,783.961","","0.02%"
"11/29/2023","5,796.950","5,785.325","6,079.555","5,778.444","","0.20%"
"11/28/2023","5,785.325","5,783.935","5,790.820","5,777.054","","-2.30%"
"11/27/2023","5,921.480","5,783.105","5,964.805","5,710.905","","0.01%"
"11/24/2023","5,920.635","5,782.865","5,920.635","5,566.327","","2.38%"
"11/23/2023","5,782.865","5,781.150","5,782.865","5,638.341","","0.03%"
"11/22/2023","5,781.150","5,961.940","6,062.990","5,761.465","","0.36%"
"11/21/2023","5,760.300","5,767.155","6,049.535","5,688.297","","-2.44%"
"11/20/2023","5,904.305","5,765.390","6,048.315","5,758.532","","2.41%"
"11/17/2023","5,765.390","5,763.585","5,770.445","5,756.729","","0.05%"
"11/16/2023","5,762.560","5,762.560","5,943.820","5,755.707","","0.00%"
"11/15/2023","5,762.560","5,748.725","5,762.562","5,741.887","","0.38%"
"11/14/2023","5,740.575","6,013.025","6,028.980","5,668.817","","0.00%"
"11/13/2023","5,740.575","5,740.575","6,027.600","5,668.320","","-2.42%"
"11/10/2023","5,883.010","5,745.890","6,026.495","5,689.695","","2.39%"
"11/09/2023","5,745.890","5,745.555","6,026.015","5,738.722","","0.01%"
"11/08/2023","5,745.555","5,727.115","6,025.655","5,720.306","","0.32%"
"11/07/2023","5,727.115","5,726.530","6,006.325","5,719.854","","-2.32%"
"11/06/2023","5,863.000","5,726.530","6,006.000","5,719.719","","2.38%"
"11/03/2023","5,726.530","5,725.790","6,005.705","5,718.982","","-4.64%"
"11/02/2023","6,004.930","5,718.410","6,004.930","5,646.929","","2.45%"
"11/01/2023","5,861.370","5,718.410","6,004.330","5,637.691","","2.73%"
"10/31/2023","5,705.745","5,965.940","5,983.910","5,696.379","","-2.29%"
"10/30/2023","5,839.455","5,703.160","5,981.880","5,703.160","","2.39%"
"10/27/2023","5,703.160","5,881.510","5,962.810","5,695.915","","0.01%"
"10/26/2023","5,702.695","5,693.783","5,980.715","5,677.370","","0.43%"
"10/25/2023","5,678.500","5,677.370","5,978.470","5,669.575","","-0.25%"
"10/24/2023","5,692.510","5,675.000","5,693.402","5,667.075","","0.40%"
"10/23/2023","5,670.000","5,677.370","5,958.075","5,667.075","","0.00%"
"10/20/2023","5,670.000","5,674.970","5,932.925","5,657.500","","0.09%"
"10/19/2023","5,665.000","5,907.350","5,951.630","5,628.637","","-3.45%"
"10/18/2023","5,867.550","5,631.500","5,893.000","5,867.550","","4.22%"
"10/17/2023","5,630.000","5,655.000","5,909.885","5,627.001","","-0.22%"
"10/16/2023","5,642.500","5,634.991","5,909.885","5,631.207","","0.01%"
"10/13/2023","5,641.700","5,634.148","5,648.415","5,634.147","","0.57%"
"10/12/2023","5,610.000","5,635.000","5,909.885","5,594.377","","-0.54%"
"10/11/2023","5,640.540","5,594.377","5,915.525","5,594.377","","0.71%"
"10/10/2023","5,601.040","5,640.015","5,874.100","5,313.950","","0.01%"
"10/09/2023","5,600.220","5,592.961","5,873.240","5,313.315","","-4.64%"
"10/06/2023","5,872.610","5,592.879","5,872.610","5,313.315","","0.00%"
"10/05/2023","5,872.525","5,591.961","5,872.525","5,591.960","","5.53%"
"10/04/2023","5,565.000","5,561.998","5,871.560","5,408.030","","0.00%"
"10/03/2023","5,565.000","5,603.415","5,840.100","5,475.525","","0.36%"
"10/02/2023","5,545.000","5,466.747","5,823.370","5,440.649","","-1.04%"
"09/29/2023","5,603.415","5,512.395","5,740.085","5,382.865","","5.87%"
"09/28/2023","5,292.500","5,258.910","5,652.010","4,998.835","","0.71%"
"09/27/2023","5,255.000","5,215.959","5,515.290","5,205.879","","0.72%"
"09/26/2023","5,217.500","5,194.008","5,476.760","5,047.795","","0.45%"
"09/25/2023","5,194.000","5,176.965","5,460.205","5,149.000","","0.33%"
"09/22/2023","5,176.965","5,252.405","5,429.350","5,119.592","","1.21%"
